2026-05-05 05:37:13,116 [INFO] filter_nq_unknown: Resuming from state: last_processed_index=10207, evaluated=10208, known=208, unknown=10000/50000
2026-05-05 05:37:13,812 [INFO] filter_nq_unknown: Loading google-research-datasets/nq_open split=train ...
2026-05-05 05:37:16,814 [INFO] filter_nq_unknown: Shuffling dataset with seed=42 (deterministic) ...
2026-05-05 05:37:16,816 [INFO] filter_nq_unknown: Dataset size after shuffle: 87925 items
2026-05-05 05:37:18,608 [INFO] filter_nq_unknown: Loading tokenizer: Qwen/Qwen2.5-0.5B-Instruct
2026-05-05 05:37:19,603 [INFO] filter_nq_unknown: Loading model: Qwen/Qwen2.5-0.5B-Instruct  dtype=bfloat16  device=cuda
`torch_dtype` is deprecated! Use `dtype` instead!
2026-05-05 05:37:19,742 [WARNING] transformers.configuration_utils: `torch_dtype` is deprecated! Use `dtype` instead!
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
2026-05-05 05:37:21,073 [WARNING] transformers.generation.configuration_utils: The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Processed 10240 | Known 208 | Unknown 10032/50000 | Failure rate: 98.0% | 8101.7 items/s
Processed 18880 | Known 393 | Unknown 18487/50000 | Failure rate: 97.9% | 101.6 items/s
Processed 18912 | Known 395 | Unknown 18517/50000 | Failure rate: 97.9% | 101.4 items/s
Processed 18944 | Known 395 | Unknown 18549/50000 | Failure rate: 97.9% | 101.2 items/s
Processed 18976 | Known 397 | Unknown 18579/50000 | Failure rate: 97.9% | 101.0 items/s
Processed 19008 | Known 398 | Unknown 18610/50000 | Failure rate: 97.9% | 100.7 items/s
Processed 19040 | Known 399 | Unknown 18641/50000 | Failure rate: 97.9% | 100.6 items/s
Processed 19072 | Known 399 | Unknown 18673/50000 | Failure rate: 97.9% | 100.4 items/s
Processed 19104 | Known 405 | Unknown 18699/50000 | Failure rate: 97.9% | 100.2 items/s
Processed 19136 | Known 405 | Unknown 18731/50000 | Failure rate: 97.9% | 100.0 items/s
Processed 19168 | Known 405 | Unknown 18763/50000 | Failure rate: 97.9% | 99.8 items/s
Processed 19200 | Known 407 | Unknown 18793/50000 | Failure rate: 97.9% | 99.6 items/s
Processed 19232 | Known 408 | Unknown 18824/50000 | Failure rate: 97.9% | 99.4 items/s
Processed 19264 | Known 408 | Unknown 18856/50000 | Failure rate: 97.9% | 99.2 items/s
Processed 19296 | Known 409 | Unknown 18887/50000 | Failure rate: 97.9% | 99.0 items/s
Processed 19328 | Known 409 | Unknown 18919/50000 | Failure rate: 97.9% | 98.8 items/s
Processed 19360 | Known 411 | Unknown 18949/50000 | Failure rate: 97.9% | 98.6 items/s
Processed 19392 | Known 412 | Unknown 18980/50000 | Failure rate: 97.9% | 98.4 items/s
Processed 19424 | Known 413 | Unknown 19011/50000 | Failure rate: 97.9% | 98.2 items/s
Processed 19456 | Known 414 | Unknown 19042/50000 | Failure rate: 97.9% | 98.1 items/s
Processed 19488 | Known 415 | Unknown 19073/50000 | Failure rate: 97.9% | 97.9 items/s
Processed 19520 | Known 415 | Unknown 19105/50000 | Failure rate: 97.9% | 97.8 items/s
Processed 19552 | Known 416 | Unknown 19136/50000 | Failure rate: 97.9% | 97.6 items/s
Processed 19584 | Known 419 | Unknown 19165/50000 | Failure rate: 97.9% | 97.4 items/s
Processed 19616 | Known 420 | Unknown 19196/50000 | Failure rate: 97.9% | 97.3 items/s
Processed 19648 | Known 420 | Unknown 19228/50000 | Failure rate: 97.9% | 97.1 items/s
Processed 19680 | Known 421 | Unknown 19259/50000 | Failure rate: 97.9% | 96.9 items/s
Processed 19712 | Known 421 | Unknown 19291/50000 | Failure rate: 97.9% | 96.8 items/s
Processed 19744 | Known 423 | Unknown 19321/50000 | Failure rate: 97.9% | 96.7 items/s
Processed 19776 | Known 424 | Unknown 19352/50000 | Failure rate: 97.9% | 96.5 items/s
Processed 19808 | Known 425 | Unknown 19383/50000 | Failure rate: 97.9% | 96.3 items/s
Processed 19840 | Known 427 | Unknown 19413/50000 | Failure rate: 97.8% | 96.1 items/s
Processed 19872 | Known 428 | Unknown 19444/50000 | Failure rate: 97.8% | 96.1 items/s
Processed 19904 | Known 428 | Unknown 19476/50000 | Failure rate: 97.8% | 95.9 items/s
Processed 19936 | Known 428 | Unknown 19508/50000 | Failure rate: 97.9% | 95.7 items/s
Processed 19968 | Known 429 | Unknown 19539/50000 | Failure rate: 97.9% | 95.5 items/s
Processed 20000 | Known 429 | Unknown 19571/50000 | Failure rate: 97.9% | 95.4 items/s
Processed 20032 | Known 430 | Unknown 19602/50000 | Failure rate: 97.9% | 95.2 items/s
Processed 20064 | Known 430 | Unknown 19634/50000 | Failure rate: 97.9% | 95.0 items/s
Processed 20096 | Known 431 | Unknown 19665/50000 | Failure rate: 97.9% | 94.9 items/s
Processed 20128 | Known 432 | Unknown 19696/50000 | Failure rate: 97.9% | 94.7 items/s
Processed 20160 | Known 435 | Unknown 19725/50000 | Failure rate: 97.8% | 94.6 items/s
Processed 20192 | Known 436 | Unknown 19756/50000 | Failure rate: 97.8% | 94.4 items/s
Processed 20224 | Known 436 | Unknown 19788/50000 | Failure rate: 97.8% | 94.3 items/s
Processed 20256 | Known 436 | Unknown 19820/50000 | Failure rate: 97.8% | 94.1 items/s
Processed 20288 | Known 439 | Unknown 19849/50000 | Failure rate: 97.8% | 94.0 items/s
Processed 20320 | Known 439 | Unknown 19881/50000 | Failure rate: 97.8% | 93.8 items/s
Processed 20352 | Known 440 | Unknown 19912/50000 | Failure rate: 97.8% | 93.7 items/s
Processed 20384 | Known 441 | Unknown 19943/50000 | Failure rate: 97.8% | 93.6 items/s
Processed 20416 | Known 442 | Unknown 19974/50000 | Failure rate: 97.8% | 93.4 items/s
Processed 20448 | Known 443 | Unknown 20005/50000 | Failure rate: 97.8% | 93.3 items/s
Processed 20480 | Known 444 | Unknown 20036/50000 | Failure rate: 97.8% | 93.1 items/s
Processed 20512 | Known 446 | Unknown 20066/50000 | Failure rate: 97.8% | 92.9 items/s
Processed 20544 | Known 448 | Unknown 20096/50000 | Failure rate: 97.8% | 92.8 items/s
Processed 20576 | Known 450 | Unknown 20126/50000 | Failure rate: 97.8% | 92.6 items/s
Processed 20608 | Known 450 | Unknown 20158/50000 | Failure rate: 97.8% | 92.5 items/s
Processed 20640 | Known 451 | Unknown 20189/50000 | Failure rate: 97.8% | 92.4 items/s
Processed 20672 | Known 452 | Unknown 20220/50000 | Failure rate: 97.8% | 92.2 items/s
Processed 20704 | Known 453 | Unknown 20251/50000 | Failure rate: 97.8% | 92.1 items/s
Processed 20736 | Known 453 | Unknown 20283/50000 | Failure rate: 97.8% | 92.0 items/s
Processed 20768 | Known 453 | Unknown 20315/50000 | Failure rate: 97.8% | 91.9 items/s
Processed 20800 | Known 454 | Unknown 20346/50000 | Failure rate: 97.8% | 91.7 items/s
Processed 20832 | Known 454 | Unknown 20378/50000 | Failure rate: 97.8% | 91.6 items/s
Processed 20864 | Known 455 | Unknown 20409/50000 | Failure rate: 97.8% | 91.5 items/s
Processed 20896 | Known 455 | Unknown 20441/50000 | Failure rate: 97.8% | 91.3 items/s
Processed 20928 | Known 455 | Unknown 20473/50000 | Failure rate: 97.8% | 91.2 items/s
Processed 20960 | Known 456 | Unknown 20504/50000 | Failure rate: 97.8% | 91.1 items/s
Processed 20992 | Known 456 | Unknown 20536/50000 | Failure rate: 97.8% | 91.0 items/s
Processed 21024 | Known 457 | Unknown 20567/50000 | Failure rate: 97.8% | 90.9 items/s
Processed 21056 | Known 458 | Unknown 20598/50000 | Failure rate: 97.8% | 90.8 items/s
Processed 21088 | Known 458 | Unknown 20630/50000 | Failure rate: 97.8% | 90.6 items/s
Processed 21120 | Known 458 | Unknown 20662/50000 | Failure rate: 97.8% | 90.6 items/s
Processed 21152 | Known 458 | Unknown 20694/50000 | Failure rate: 97.8% | 90.5 items/s
Processed 21184 | Known 459 | Unknown 20725/50000 | Failure rate: 97.8% | 90.3 items/s
Processed 21216 | Known 460 | Unknown 20756/50000 | Failure rate: 97.8% | 90.2 items/s
Processed 21248 | Known 461 | Unknown 20787/50000 | Failure rate: 97.8% | 90.1 items/s
Processed 21280 | Known 462 | Unknown 20818/50000 | Failure rate: 97.8% | 90.0 items/s
Processed 21312 | Known 463 | Unknown 20849/50000 | Failure rate: 97.8% | 89.8 items/s
Processed 21344 | Known 463 | Unknown 20881/50000 | Failure rate: 97.8% | 89.7 items/s
Processed 21376 | Known 465 | Unknown 20911/50000 | Failure rate: 97.8% | 89.6 items/s
Processed 21408 | Known 466 | Unknown 20942/50000 | Failure rate: 97.8% | 89.4 items/s
Processed 21440 | Known 466 | Unknown 20974/50000 | Failure rate: 97.8% | 89.3 items/s
Processed 21472 | Known 466 | Unknown 21006/50000 | Failure rate: 97.8% | 89.2 items/s
Processed 21504 | Known 467 | Unknown 21037/50000 | Failure rate: 97.8% | 89.1 items/s
Processed 21536 | Known 467 | Unknown 21069/50000 | Failure rate: 97.8% | 89.0 items/s
Processed 21568 | Known 468 | Unknown 21100/50000 | Failure rate: 97.8% | 88.9 items/s
Processed 21600 | Known 468 | Unknown 21132/50000 | Failure rate: 97.8% | 88.8 items/s
Processed 21632 | Known 469 | Unknown 21163/50000 | Failure rate: 97.8% | 88.7 items/s
Processed 21664 | Known 469 | Unknown 21195/50000 | Failure rate: 97.8% | 88.6 items/s
Processed 21696 | Known 470 | Unknown 21226/50000 | Failure rate: 97.8% | 88.5 items/s
Processed 21728 | Known 470 | Unknown 21258/50000 | Failure rate: 97.8% | 88.3 items/s
Processed 21760 | Known 472 | Unknown 21288/50000 | Failure rate: 97.8% | 88.2 items/s
Processed 21792 | Known 472 | Unknown 21320/50000 | Failure rate: 97.8% | 88.1 items/s
Processed 21824 | Known 472 | Unknown 21352/50000 | Failure rate: 97.8% | 88.0 items/s
Processed 21856 | Known 472 | Unknown 21384/50000 | Failure rate: 97.8% | 87.9 items/s
Processed 21888 | Known 472 | Unknown 21416/50000 | Failure rate: 97.8% | 87.8 items/s
Processed 21920 | Known 473 | Unknown 21447/50000 | Failure rate: 97.8% | 87.7 items/s
Processed 21952 | Known 473 | Unknown 21479/50000 | Failure rate: 97.8% | 87.5 items/s
Processed 21984 | Known 475 | Unknown 21509/50000 | Failure rate: 97.8% | 87.4 items/s
Processed 22016 | Known 477 | Unknown 21539/50000 | Failure rate: 97.8% | 87.3 items/s
Processed 22048 | Known 478 | Unknown 21570/50000 | Failure rate: 97.8% | 87.2 items/s
Processed 22080 | Known 481 | Unknown 21599/50000 | Failure rate: 97.8% | 87.1 items/s
Processed 22112 | Known 481 | Unknown 21631/50000 | Failure rate: 97.8% | 87.0 items/s
Processed 22144 | Known 481 | Unknown 21663/50000 | Failure rate: 97.8% | 86.9 items/s
Processed 22176 | Known 482 | Unknown 21694/50000 | Failure rate: 97.8% | 86.8 items/s
Processed 22208 | Known 483 | Unknown 21725/50000 | Failure rate: 97.8% | 86.7 items/s
Processed 22240 | Known 484 | Unknown 21756/50000 | Failure rate: 97.8% | 86.6 items/s
Processed 22272 | Known 484 | Unknown 21788/50000 | Failure rate: 97.8% | 86.5 items/s
Processed 22304 | Known 484 | Unknown 21820/50000 | Failure rate: 97.8% | 86.4 items/s
Processed 22336 | Known 484 | Unknown 21852/50000 | Failure rate: 97.8% | 86.3 items/s
Processed 22368 | Known 484 | Unknown 21884/50000 | Failure rate: 97.8% | 86.2 items/s
Processed 22400 | Known 485 | Unknown 21915/50000 | Failure rate: 97.8% | 86.1 items/s
Processed 22432 | Known 488 | Unknown 21944/50000 | Failure rate: 97.8% | 86.0 items/s
Processed 22464 | Known 488 | Unknown 21976/50000 | Failure rate: 97.8% | 85.9 items/s
Processed 22496 | Known 488 | Unknown 22008/50000 | Failure rate: 97.8% | 85.8 items/s
Processed 22528 | Known 488 | Unknown 22040/50000 | Failure rate: 97.8% | 85.7 items/s
Processed 22560 | Known 488 | Unknown 22072/50000 | Failure rate: 97.8% | 85.6 items/s
Processed 22592 | Known 489 | Unknown 22103/50000 | Failure rate: 97.8% | 85.5 items/s
Processed 22624 | Known 489 | Unknown 22135/50000 | Failure rate: 97.8% | 85.4 items/s
Processed 22656 | Known 489 | Unknown 22167/50000 | Failure rate: 97.8% | 85.3 items/s
Processed 22688 | Known 489 | Unknown 22199/50000 | Failure rate: 97.8% | 85.2 items/s
Processed 22720 | Known 489 | Unknown 22231/50000 | Failure rate: 97.8% | 85.1 items/s
Processed 22752 | Known 490 | Unknown 22262/50000 | Failure rate: 97.8% | 85.0 items/s
Processed 22784 | Known 493 | Unknown 22291/50000 | Failure rate: 97.8% | 84.9 items/s
Processed 22816 | Known 493 | Unknown 22323/50000 | Failure rate: 97.8% | 84.9 items/s
Processed 22848 | Known 494 | Unknown 22354/50000 | Failure rate: 97.8% | 84.8 items/s
Processed 22880 | Known 495 | Unknown 22385/50000 | Failure rate: 97.8% | 84.6 items/s
Processed 22912 | Known 496 | Unknown 22416/50000 | Failure rate: 97.8% | 84.5 items/s
Processed 22944 | Known 497 | Unknown 22447/50000 | Failure rate: 97.8% | 84.4 items/s
Processed 22976 | Known 497 | Unknown 22479/50000 | Failure rate: 97.8% | 84.3 items/s
Processed 23008 | Known 497 | Unknown 22511/50000 | Failure rate: 97.8% | 84.2 items/s
Processed 23040 | Known 498 | Unknown 22542/50000 | Failure rate: 97.8% | 84.1 items/s
Processed 23072 | Known 499 | Unknown 22573/50000 | Failure rate: 97.8% | 84.0 items/s
Processed 23104 | Known 501 | Unknown 22603/50000 | Failure rate: 97.8% | 83.9 items/s
Processed 23136 | Known 502 | Unknown 22634/50000 | Failure rate: 97.8% | 83.8 items/s
Processed 23168 | Known 502 | Unknown 22666/50000 | Failure rate: 97.8% | 83.7 items/s
Processed 23200 | Known 502 | Unknown 22698/50000 | Failure rate: 97.8% | 83.6 items/s
Processed 23232 | Known 503 | Unknown 22729/50000 | Failure rate: 97.8% | 83.5 items/s
Processed 23264 | Known 503 | Unknown 22761/50000 | Failure rate: 97.8% | 83.4 items/s
Processed 23296 | Known 503 | Unknown 22793/50000 | Failure rate: 97.8% | 83.3 items/s
Processed 23328 | Known 503 | Unknown 22825/50000 | Failure rate: 97.8% | 83.3 items/s
Processed 23360 | Known 504 | Unknown 22856/50000 | Failure rate: 97.8% | 83.2 items/s
Processed 23392 | Known 505 | Unknown 22887/50000 | Failure rate: 97.8% | 83.1 items/s
Processed 23424 | Known 508 | Unknown 22916/50000 | Failure rate: 97.8% | 83.0 items/s
Processed 23456 | Known 508 | Unknown 22948/50000 | Failure rate: 97.8% | 82.9 items/s
Processed 23488 | Known 508 | Unknown 22980/50000 | Failure rate: 97.8% | 82.9 items/s
Processed 23520 | Known 508 | Unknown 23012/50000 | Failure rate: 97.8% | 82.8 items/s
Processed 23552 | Known 508 | Unknown 23044/50000 | Failure rate: 97.8% | 82.7 items/s
Processed 23584 | Known 509 | Unknown 23075/50000 | Failure rate: 97.8% | 82.6 items/s
Processed 23616 | Known 510 | Unknown 23106/50000 | Failure rate: 97.8% | 82.5 items/s
Processed 23648 | Known 511 | Unknown 23137/50000 | Failure rate: 97.8% | 82.5 items/s
Processed 23680 | Known 512 | Unknown 23168/50000 | Failure rate: 97.8% | 82.4 items/s
Processed 23712 | Known 512 | Unknown 23200/50000 | Failure rate: 97.8% | 82.3 items/s
Processed 23744 | Known 513 | Unknown 23231/50000 | Failure rate: 97.8% | 82.2 items/s
Processed 23776 | Known 513 | Unknown 23263/50000 | Failure rate: 97.8% | 82.1 items/s
Processed 23808 | Known 513 | Unknown 23295/50000 | Failure rate: 97.8% | 82.0 items/s
Processed 23840 | Known 515 | Unknown 23325/50000 | Failure rate: 97.8% | 82.0 items/s
Processed 23872 | Known 516 | Unknown 23356/50000 | Failure rate: 97.8% | 81.9 items/s
Processed 23904 | Known 516 | Unknown 23388/50000 | Failure rate: 97.8% | 81.8 items/s
Processed 23936 | Known 516 | Unknown 23420/50000 | Failure rate: 97.8% | 81.7 items/s
Processed 23968 | Known 516 | Unknown 23452/50000 | Failure rate: 97.8% | 81.6 items/s
Processed 24000 | Known 516 | Unknown 23484/50000 | Failure rate: 97.9% | 81.6 items/s
Processed 24032 | Known 517 | Unknown 23515/50000 | Failure rate: 97.8% | 81.5 items/s
Processed 24064 | Known 518 | Unknown 23546/50000 | Failure rate: 97.8% | 81.4 items/s
Processed 24096 | Known 519 | Unknown 23577/50000 | Failure rate: 97.8% | 81.3 items/s
Processed 24128 | Known 521 | Unknown 23607/50000 | Failure rate: 97.8% | 81.2 items/s
Processed 24160 | Known 522 | Unknown 23638/50000 | Failure rate: 97.8% | 81.1 items/s
Processed 24192 | Known 524 | Unknown 23668/50000 | Failure rate: 97.8% | 81.1 items/s
Processed 24224 | Known 525 | Unknown 23699/50000 | Failure rate: 97.8% | 81.0 items/s
Processed 24256 | Known 526 | Unknown 23730/50000 | Failure rate: 97.8% | 80.9 items/s
Processed 24288 | Known 528 | Unknown 23760/50000 | Failure rate: 97.8% | 80.8 items/s
Processed 24320 | Known 528 | Unknown 23792/50000 | Failure rate: 97.8% | 80.7 items/s
Processed 24352 | Known 528 | Unknown 23824/50000 | Failure rate: 97.8% | 80.6 items/s
Processed 24384 | Known 528 | Unknown 23856/50000 | Failure rate: 97.8% | 80.5 items/s
Processed 24416 | Known 528 | Unknown 23888/50000 | Failure rate: 97.8% | 80.5 items/s
Processed 24448 | Known 528 | Unknown 23920/50000 | Failure rate: 97.8% | 80.4 items/s
Processed 24480 | Known 530 | Unknown 23950/50000 | Failure rate: 97.8% | 80.4 items/s
Processed 24512 | Known 530 | Unknown 23982/50000 | Failure rate: 97.8% | 80.3 items/s
Processed 24544 | Known 530 | Unknown 24014/50000 | Failure rate: 97.8% | 80.2 items/s
Processed 24576 | Known 530 | Unknown 24046/50000 | Failure rate: 97.8% | 80.2 items/s
Processed 24608 | Known 530 | Unknown 24078/50000 | Failure rate: 97.8% | 80.1 items/s
Processed 24640 | Known 531 | Unknown 24109/50000 | Failure rate: 97.8% | 80.0 items/s
Processed 24672 | Known 531 | Unknown 24141/50000 | Failure rate: 97.8% | 80.0 items/s
Processed 24704 | Known 534 | Unknown 24170/50000 | Failure rate: 97.8% | 79.9 items/s
Processed 24736 | Known 534 | Unknown 24202/50000 | Failure rate: 97.8% | 79.8 items/s
Processed 24768 | Known 535 | Unknown 24233/50000 | Failure rate: 97.8% | 79.8 items/s
Processed 24800 | Known 538 | Unknown 24262/50000 | Failure rate: 97.8% | 79.7 items/s
Processed 24832 | Known 538 | Unknown 24294/50000 | Failure rate: 97.8% | 79.6 items/s
Processed 24864 | Known 539 | Unknown 24325/50000 | Failure rate: 97.8% | 79.6 items/s
Processed 24896 | Known 539 | Unknown 24357/50000 | Failure rate: 97.8% | 79.5 items/s
Processed 24928 | Known 540 | Unknown 24388/50000 | Failure rate: 97.8% | 79.5 items/s
Processed 24960 | Known 543 | Unknown 24417/50000 | Failure rate: 97.8% | 79.4 items/s
Processed 24992 | Known 544 | Unknown 24448/50000 | Failure rate: 97.8% | 79.3 items/s
Processed 25024 | Known 545 | Unknown 24479/50000 | Failure rate: 97.8% | 79.3 items/s
Processed 25056 | Known 546 | Unknown 24510/50000 | Failure rate: 97.8% | 79.2 items/s
Processed 25088 | Known 546 | Unknown 24542/50000 | Failure rate: 97.8% | 79.1 items/s
Processed 25120 | Known 547 | Unknown 24573/50000 | Failure rate: 97.8% | 79.1 items/s
Processed 25152 | Known 547 | Unknown 24605/50000 | Failure rate: 97.8% | 79.0 items/s
Processed 25184 | Known 548 | Unknown 24636/50000 | Failure rate: 97.8% | 79.0 items/s
Processed 25216 | Known 550 | Unknown 24666/50000 | Failure rate: 97.8% | 78.9 items/s
Processed 25248 | Known 550 | Unknown 24698/50000 | Failure rate: 97.8% | 78.9 items/s
Processed 25280 | Known 551 | Unknown 24729/50000 | Failure rate: 97.8% | 78.8 items/s
Processed 25312 | Known 552 | Unknown 24760/50000 | Failure rate: 97.8% | 78.7 items/s
Processed 25344 | Known 552 | Unknown 24792/50000 | Failure rate: 97.8% | 78.6 items/s
Processed 25376 | Known 553 | Unknown 24823/50000 | Failure rate: 97.8% | 78.6 items/s
Processed 25408 | Known 553 | Unknown 24855/50000 | Failure rate: 97.8% | 78.5 items/s
Processed 25440 | Known 554 | Unknown 24886/50000 | Failure rate: 97.8% | 78.4 items/s
Processed 25472 | Known 554 | Unknown 24918/50000 | Failure rate: 97.8% | 78.4 items/s
Processed 25504 | Known 554 | Unknown 24950/50000 | Failure rate: 97.8% | 78.3 items/s
Processed 25536 | Known 554 | Unknown 24982/50000 | Failure rate: 97.8% | 78.2 items/s
Processed 25568 | Known 554 | Unknown 25014/50000 | Failure rate: 97.8% | 78.1 items/s
Processed 25600 | Known 555 | Unknown 25045/50000 | Failure rate: 97.8% | 78.1 items/s
Processed 25632 | Known 556 | Unknown 25076/50000 | Failure rate: 97.8% | 78.0 items/s
Processed 25664 | Known 556 | Unknown 25108/50000 | Failure rate: 97.8% | 77.9 items/s
Processed 25696 | Known 557 | Unknown 25139/50000 | Failure rate: 97.8% | 77.9 items/s
Processed 25728 | Known 557 | Unknown 25171/50000 | Failure rate: 97.8% | 77.8 items/s
Processed 25760 | Known 557 | Unknown 25203/50000 | Failure rate: 97.8% | 77.7 items/s
Processed 25792 | Known 558 | Unknown 25234/50000 | Failure rate: 97.8% | 77.7 items/s
Processed 25824 | Known 558 | Unknown 25266/50000 | Failure rate: 97.8% | 77.7 items/s
Processed 25856 | Known 560 | Unknown 25296/50000 | Failure rate: 97.8% | 77.6 items/s
Processed 25888 | Known 561 | Unknown 25327/50000 | Failure rate: 97.8% | 77.6 items/s
Processed 25920 | Known 561 | Unknown 25359/50000 | Failure rate: 97.8% | 77.5 items/s
Processed 25952 | Known 563 | Unknown 25389/50000 | Failure rate: 97.8% | 77.4 items/s
Processed 25984 | Known 563 | Unknown 25421/50000 | Failure rate: 97.8% | 77.4 items/s
Processed 26016 | Known 563 | Unknown 25453/50000 | Failure rate: 97.8% | 77.3 items/s
Processed 26048 | Known 564 | Unknown 25484/50000 | Failure rate: 97.8% | 77.3 items/s
Processed 26080 | Known 564 | Unknown 25516/50000 | Failure rate: 97.8% | 77.3 items/s
Processed 26112 | Known 564 | Unknown 25548/50000 | Failure rate: 97.8% | 77.2 items/s
Processed 26144 | Known 564 | Unknown 25580/50000 | Failure rate: 97.8% | 77.2 items/s
Processed 26176 | Known 565 | Unknown 25611/50000 | Failure rate: 97.8% | 77.1 items/s
Processed 26208 | Known 565 | Unknown 25643/50000 | Failure rate: 97.8% | 77.0 items/s
Processed 26240 | Known 565 | Unknown 25675/50000 | Failure rate: 97.8% | 77.0 items/s
Processed 26272 | Known 565 | Unknown 25707/50000 | Failure rate: 97.8% | 76.9 items/s
Processed 26304 | Known 566 | Unknown 25738/50000 | Failure rate: 97.8% | 76.9 items/s
Processed 26336 | Known 566 | Unknown 25770/50000 | Failure rate: 97.9% | 76.9 items/s
Processed 26368 | Known 566 | Unknown 25802/50000 | Failure rate: 97.9% | 76.8 items/s
Processed 26400 | Known 566 | Unknown 25834/50000 | Failure rate: 97.9% | 76.8 items/s
Processed 26432 | Known 566 | Unknown 25866/50000 | Failure rate: 97.9% | 76.7 items/s
Processed 26464 | Known 566 | Unknown 25898/50000 | Failure rate: 97.9% | 76.7 items/s
Processed 26496 | Known 567 | Unknown 25929/50000 | Failure rate: 97.9% | 76.6 items/s
Processed 26528 | Known 567 | Unknown 25961/50000 | Failure rate: 97.9% | 76.5 items/s
Processed 26560 | Known 567 | Unknown 25993/50000 | Failure rate: 97.9% | 76.5 items/s
Processed 26592 | Known 567 | Unknown 26025/50000 | Failure rate: 97.9% | 76.4 items/s
Processed 26624 | Known 567 | Unknown 26057/50000 | Failure rate: 97.9% | 76.4 items/s
Processed 26656 | Known 567 | Unknown 26089/50000 | Failure rate: 97.9% | 76.3 items/s
Processed 26688 | Known 567 | Unknown 26121/50000 | Failure rate: 97.9% | 76.3 items/s
Processed 26720 | Known 567 | Unknown 26153/50000 | Failure rate: 97.9% | 76.2 items/s
Processed 26752 | Known 567 | Unknown 26185/50000 | Failure rate: 97.9% | 76.1 items/s
Processed 26784 | Known 567 | Unknown 26217/50000 | Failure rate: 97.9% | 76.1 items/s
Processed 26816 | Known 568 | Unknown 26248/50000 | Failure rate: 97.9% | 76.1 items/s
Processed 26848 | Known 568 | Unknown 26280/50000 | Failure rate: 97.9% | 76.0 items/s
Processed 26880 | Known 570 | Unknown 26310/50000 | Failure rate: 97.9% | 76.0 items/s
Processed 26912 | Known 571 | Unknown 26341/50000 | Failure rate: 97.9% | 75.9 items/s
Processed 26944 | Known 572 | Unknown 26372/50000 | Failure rate: 97.9% | 75.9 items/s
Processed 26976 | Known 573 | Unknown 26403/50000 | Failure rate: 97.9% | 75.9 items/s
Processed 27008 | Known 574 | Unknown 26434/50000 | Failure rate: 97.9% | 75.8 items/s
Processed 27040 | Known 575 | Unknown 26465/50000 | Failure rate: 97.9% | 75.8 items/s
Processed 27072 | Known 576 | Unknown 26496/50000 | Failure rate: 97.9% | 75.7 items/s
Processed 27104 | Known 576 | Unknown 26528/50000 | Failure rate: 97.9% | 75.7 items/s
Processed 27136 | Known 577 | Unknown 26559/50000 | Failure rate: 97.9% | 75.6 items/s
Processed 27168 | Known 577 | Unknown 26591/50000 | Failure rate: 97.9% | 75.6 items/s
Processed 27200 | Known 578 | Unknown 26622/50000 | Failure rate: 97.9% | 75.5 items/s
Processed 27232 | Known 579 | Unknown 26653/50000 | Failure rate: 97.9% | 75.5 items/s
Processed 27264 | Known 580 | Unknown 26684/50000 | Failure rate: 97.9% | 75.4 items/s
Processed 27296 | Known 581 | Unknown 26715/50000 | Failure rate: 97.9% | 75.4 items/s
Processed 27328 | Known 583 | Unknown 26745/50000 | Failure rate: 97.9% | 75.3 items/s
Processed 27360 | Known 583 | Unknown 26777/50000 | Failure rate: 97.9% | 75.2 items/s
Processed 27392 | Known 583 | Unknown 26809/50000 | Failure rate: 97.9% | 75.2 items/s
Processed 27424 | Known 583 | Unknown 26841/50000 | Failure rate: 97.9% | 75.1 items/s
Processed 27456 | Known 583 | Unknown 26873/50000 | Failure rate: 97.9% | 75.1 items/s
Processed 27488 | Known 583 | Unknown 26905/50000 | Failure rate: 97.9% | 75.0 items/s
Processed 27520 | Known 583 | Unknown 26937/50000 | Failure rate: 97.9% | 75.0 items/s
Processed 27552 | Known 584 | Unknown 26968/50000 | Failure rate: 97.9% | 74.9 items/s
Processed 27584 | Known 585 | Unknown 26999/50000 | Failure rate: 97.9% | 74.9 items/s
Processed 27616 | Known 585 | Unknown 27031/50000 | Failure rate: 97.9% | 74.8 items/s
Processed 27648 | Known 586 | Unknown 27062/50000 | Failure rate: 97.9% | 74.8 items/s
Processed 27680 | Known 587 | Unknown 27093/50000 | Failure rate: 97.9% | 74.8 items/s
Processed 27712 | Known 588 | Unknown 27124/50000 | Failure rate: 97.9% | 74.7 items/s
Processed 27744 | Known 588 | Unknown 27156/50000 | Failure rate: 97.9% | 74.7 items/s
Processed 27776 | Known 590 | Unknown 27186/50000 | Failure rate: 97.9% | 74.6 items/s
Processed 27808 | Known 591 | Unknown 27217/50000 | Failure rate: 97.9% | 74.6 items/s
Processed 27840 | Known 593 | Unknown 27247/50000 | Failure rate: 97.9% | 74.5 items/s
Processed 27872 | Known 593 | Unknown 27279/50000 | Failure rate: 97.9% | 74.5 items/s
Processed 27904 | Known 594 | Unknown 27310/50000 | Failure rate: 97.9% | 74.4 items/s
Processed 27936 | Known 594 | Unknown 27342/50000 | Failure rate: 97.9% | 74.4 items/s
