2026-05-04 08:33:07,024 [INFO] filter_nq_unknown: No existing state file at data/nq_open_filter_state.json; starting fresh.
2026-05-04 08:33:07,664 [INFO] filter_nq_unknown: Loading google-research-datasets/nq_open split=train ...
2026-05-04 08:33:09,454 [INFO] filter_nq_unknown: Shuffling dataset with seed=42 (deterministic) ...
2026-05-04 08:33:09,455 [INFO] filter_nq_unknown: Dataset size after shuffle: 87925 items
2026-05-04 08:33:11,225 [INFO] filter_nq_unknown: Loading tokenizer: Qwen/Qwen2.5-0.5B-Instruct
2026-05-04 08:33:11,985 [INFO] filter_nq_unknown: Loading model: Qwen/Qwen2.5-0.5B-Instruct  dtype=bfloat16  device=cuda
`torch_dtype` is deprecated! Use `dtype` instead!
2026-05-04 08:33:12,124 [WARNING] transformers.configuration_utils: `torch_dtype` is deprecated! Use `dtype` instead!
The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
2026-05-04 08:33:13,469 [WARNING] transformers.generation.configuration_utils: The following generation flags are not valid and may be ignored: ['temperature', 'top_p', 'top_k']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Processed 32 | Known 1 | Unknown 31/10000 | Failure rate: 96.9% | 27.2 items/s
Processed 8768 | Known 185 | Unknown 8583/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8800 | Known 186 | Unknown 8614/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8832 | Known 186 | Unknown 8646/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8864 | Known 186 | Unknown 8678/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8896 | Known 186 | Unknown 8710/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8928 | Known 186 | Unknown 8742/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8960 | Known 187 | Unknown 8773/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 8992 | Known 187 | Unknown 8805/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9024 | Known 187 | Unknown 8837/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9056 | Known 188 | Unknown 8868/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9088 | Known 188 | Unknown 8900/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9120 | Known 188 | Unknown 8932/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9152 | Known 188 | Unknown 8964/10000 | Failure rate: 97.9% | 46.4 items/s
Processed 9184 | Known 188 | Unknown 8996/10000 | Failure rate: 98.0% | 46.4 items/s
Processed 9216 | Known 188 | Unknown 9028/10000 | Failure rate: 98.0% | 46.4 items/s
Processed 9248 | Known 188 | Unknown 9060/10000 | Failure rate: 98.0% | 46.4 items/s
Processed 9280 | Known 188 | Unknown 9092/10000 | Failure rate: 98.0% | 46.4 items/s
Processed 9312 | Known 189 | Unknown 9123/10000 | Failure rate: 98.0% | 46.4 items/s
Processed 9344 | Known 190 | Unknown 9154/10000 | Failure rate: 98.0% | 46.4 items/s
Processed 9376 | Known 192 | Unknown 9184/10000 | Failure rate: 98.0% | 46.4 items/s
Processed 9408 | Known 194 | Unknown 9214/10000 | Failure rate: 97.9% | 46.4 items/s
Processed 9440 | Known 194 | Unknown 9246/10000 | Failure rate: 97.9% | 46.4 items/s
Processed 9472 | Known 195 | Unknown 9277/10000 | Failure rate: 97.9% | 46.4 items/s
Processed 9504 | Known 196 | Unknown 9308/10000 | Failure rate: 97.9% | 46.4 items/s
Processed 9536 | Known 196 | Unknown 9340/10000 | Failure rate: 97.9% | 46.4 items/s
Processed 9568 | Known 197 | Unknown 9371/10000 | Failure rate: 97.9% | 46.4 items/s
Processed 9600 | Known 198 | Unknown 9402/10000 | Failure rate: 97.9% | 46.4 items/s
Processed 9632 | Known 199 | Unknown 9433/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9664 | Known 199 | Unknown 9465/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9696 | Known 200 | Unknown 9496/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9728 | Known 201 | Unknown 9527/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9760 | Known 201 | Unknown 9559/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9792 | Known 203 | Unknown 9589/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9824 | Known 204 | Unknown 9620/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9856 | Known 204 | Unknown 9652/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9888 | Known 205 | Unknown 9683/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9920 | Known 205 | Unknown 9715/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9952 | Known 205 | Unknown 9747/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 9984 | Known 205 | Unknown 9779/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 10016 | Known 206 | Unknown 9810/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 10048 | Known 207 | Unknown 9841/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 10080 | Known 208 | Unknown 9872/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 10112 | Known 208 | Unknown 9904/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 10144 | Known 208 | Unknown 9936/10000 | Failure rate: 97.9% | 46.3 items/s
Processed 10176 | Known 208 | Unknown 9968/10000 | Failure rate: 98.0% | 46.3 items/s
Processed 10208 | Known 208 | Unknown 10000/10000 | Failure rate: 98.0% | 46.3 items/s
2026-05-04 08:36:53,690 [INFO] filter_nq_unknown: Target reached: 10000 unknowns collected.
Done. evaluated=10208 known=208 unknown=10000/10000 complete=True
